Gene,log2FoldChange,pvalue,padj
CALML5,4.12360294234,8.04490623788619e-12,1.39112537029603e-11
IGLV5-45,4.12107091183255,2.98089317822052e-05,3.76952798259904e-05
HBA1,4.12036632263274,3.16456753258366e-11,5.29983381340997e-11
CLNK,4.11896333383471,2.59058121268309e-26,9.77625271340616e-26
LMOD3,4.11692797989183,1.70824142888922e-15,3.53683232930119e-15
CCDC200,4.11651293631811,1.58074188192987e-27,6.42431712559423e-27
BMP4,4.11497325655922,2.93125352982125e-20,7.75880174326706e-20
IGKV1D-16,4.1124344066429,2.06324867582247e-07,2.88149860827189e-07
IGLVIV-66-1,4.11170451656502,8.1060516157081e-05,0.000100610175524282
CD7,4.10970089310013,1.23983135814165e-22,3.76222798778554e-22
IGLJ7,4.10686325975156,5.78650298602028e-06,7.55866768213835e-06
NEXN,4.10637760830197,2.44975985754085e-24,8.21812454408063e-24
TNNI3,4.10571259318211,3.8816667284802e-23,1.21289574205097e-22
HDC,4.10166540228386,3.31369708220027e-21,9.27394016986927e-21
DGKB,4.10019023514421,2.04144237511108e-25,7.2823817090326e-25
MOGS,4.10016553922566,4.1741994484793e-26,1.55530263769438e-25
VASH1,4.09974782848081,2.48586414360459e-34,1.587946890617e-33
CDT1,4.09799817585357,2.52133721612045e-33,1.508628172794e-32
IGFL4,4.09170711964858,7.76435459439866e-20,2.01579671076505e-19
HTR3B,4.09170701370501,9.46222493580807e-15,1.8897847397245e-14
GNAI1,4.09137734744181,7.47562998822717e-28,3.10870919231869e-27
BMP7,4.09030779854402,2.31003332337522e-26,8.73833942248491e-26
ARAP3,4.08988795844236,8.31217059321987e-32,4.47683729126595e-31
GSDME,4.08867397919511,1.10701357698735e-19,2.85176775034594e-19
FHOD3,4.08713287804064,2.75083010181763e-31,1.43286601586713e-30
CYGB,4.08598337838688,1.65801021153868e-21,4.73084049417014e-21
CAMK1,4.08541768742979,4.05500285315981e-27,1.59940864977877e-26
IGKV2-26,4.08302976962351,5.43524840148986e-05,6.79727750373901e-05
CAPN3,4.08274698205737,5.10423397225565e-26,1.89054879651993e-25
AMDHD2,4.08233150428454,9.21366132832157e-39,8.0326126544542e-38
IGHV3-72,4.08208827797629,1.01944011118984e-05,1.31571768767209e-05
ACE2,4.08150344120889,6.46584976006117e-27,2.5256536008157e-26
GJC1,4.08134084876068,2.45876149444961e-20,6.53586394156857e-20
CCL22,4.07608447247059,3.30671335872437e-18,7.86623578557515e-18
IGHVII-33-1,4.07502690086649,5.76759763252747e-05,7.20154426496748e-05
MT1H,4.07436495390034,3.02911166239835e-08,4.40261953979599e-08
DEFA10P,4.07351974531763,4.22556174614872e-05,5.30894660806304e-05
